,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
0,236477,의료법위반·특정경제범죄가중처벌등에관한법률위반(사기)[비의료인이 개설자격을 위반하여 의료법인 명의 의료기관을 개설·운영하였는지 여부가 문제된 사건],2020도6492,2023.08.18,대법원,형사,400102,판결,선고
1,236823,특정경제범죄가중처벌등에관한법률위반(사기)·의료법위반,2017도1807,2023.07.17,대법원,형사,400102,전원합의체 판결,선고
2,235017,군사기밀보호법위반(예비적죄명:군기누설)[군사기밀보호법 위반 혐의에 관한 압수수색영장으로 압수한 증거물을 그 군사기밀보호법 위반죄 공범의 별건 범죄사실에 관한 증거로 사용한 사건],2018도18866,2023.06.01,대법원,형사,400102,판결,선고
3,235021,군사기밀보호법위반·군기누설[선행 사건의 전자정보 압수·수색 과정에서 생성한 이미징 사본을 선행 사건의 판결 확정 이후 그 공범에 대한 범죄혐의 수사를 위해 새로 탐색·출력한 것이 위법한지 여부가 문제된 사건],2018도19782,2023.06.01,대법원,형사,400102,판결,선고
4,233585,특정경제범죄가중처벌등에관한법률위반(사기)·특정경제범죄가중처벌등에관한법률위반(횡령)·상법위반·공전자기록등불실기재·불실기재공전자기록등행사·국가기술자격법위반·건설산업기본법위반·위계공무집행방해·범죄수익은닉의규제및처벌등에관한법률위반·뇌물공여·사기·부정처사후수뢰·공전자기록등위작·위작공전자기록등행사·허위공문서작성·허위작성공문서행사·뇌물수수·제3자뇌물수수·특정범죄가중처벌등에관한법률위반(알선수재)·직권남용권리행사방해·부패방지및국민권익위원회의설치와운영에관한법률위반·공무상비밀누설·제3자뇌물취득,2017도14104,2023.01.12,대법원,형사,400102,판결,선고
5,233577,수사기관의압수수색처분에대한준항고기각결정에대한재항고[수사기관의 압수·수색처분에 대한 준항고 사건],2022모1566,2023.01.12,대법원,형사,400102,결정,자
6,233095,절도(인정된죄명:사기),2022도12494,2022.12.29,대법원,형사,400102,판결,선고
7,233049,"사기·전자금융거래법위반·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·도로교통법위반(음주운전)[전동킥보드 음주운전 행위에 대하여 구 도로교통법위반(음주운전)죄로 기소된 사안에서, 재판 진행 중 개정 도로교통법(2020. 6. 9. 법률 제17371호로 개정된 것, 이하 같다)의 시행에 따라 법정형이 종전보다 가벼워진 사안]",2020도16420,2022.12.22,대법원,형사,400102,전원합의체 판결,선고
8,231967,사기,2022도8662,2022.11.17,대법원,형사,400102,판결,선고
9,231993,사기,2022도7940,2022.11.10,대법원,형사,400102,판결,선고
