,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
0,235961,살인·성폭력범죄의처벌등에관한특례법위반(특수강제추행)·특수상해·특수폭행·상습폭행·폭행[사형을 선고한 원심판결에 대해 양형부당을 주장한 사건],2023도2043,2023.07.13,대법원,형사,400102,판결,선고
1,235957,가정폭력범죄의처벌등에관한특례법위반,2021도15745,2023.07.13,대법원,형사,400102,판결,선고
2,235555,성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·모욕·협박,2020도3705,2023.06.29,대법원,형사,400102,판결,선고
3,235113,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)[택일적죄명:성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)],2022도15414,2023.06.15,대법원,형사,400102,판결,선고
4,235019,"성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[압수조서 미작성, 전자정보 상세목록 미교부, 임의제출의 임의성, 관련성이 문제된 사건]",2020도2550,2023.06.01,대법원,형사,400102,판결,선고
5,234979,가정폭력범죄의처벌등에관한특례법위반,2020도5233,2023.06.01,대법원,형사,400102,판결,선고
6,234585,성폭력범죄의처벌등에관한특례법위반(장애인유사성행위)[인정된죄명:성폭력범죄의처벌등에관한특례법위반(장애인피보호자간음)]·성폭력범죄의처벌등에관한특례법위반(장애인강제추행)[인정된죄명:성폭력범죄의처벌등에관한특례법위반(장애인피보호자간음)]·장애인복지법위반·부착명령,2023도2358,2023.04.13,대법원,형사,400102,판결,선고
7,234941,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·협박·폭행,2022노3389,2023.04.13,서울고등법원,형사,400102,판결 : 확정,선고
8,234599,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행),2023도162,2023.04.13,대법원,형사,400102,판결,선고
9,234849,성폭력범죄의처벌등에관한특례법위반(장애인유사성행위)[인정된죄명:성폭력범죄의처벌등에관한특례법위반(장애인피보호자간음)]·성폭력범죄의처벌등에관한특례법위반(장애인강제추행)[인정된죄명:성폭력범죄의처벌등에관한특례법위반(장애인피보호자간음)]·장애인복지법위반·부착명령·보호관찰명령,2022노144,2023.02.01,서울고등법원춘천재판부,형사,400102,판결,선고
10,232765,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(촬영물등이용강요)·공갈미수,2022도10564,2022.12.15,대법원,형사,400102,판결,선고
11,234807,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행),2022노834,2022.12.06,수원고등법원,형사,400102,판결,선고
12,234269,특정범죄가중처벌등에관한법률위반(보복협박등)·스토킹범죄의처벌등에관한법률위반·가정폭력범죄의처벌등에관한특례법위반,2022노2157,2022.11.24,서울고등법원,형사,400102,판결 : 확정,선고
13,234433,폭력행위등처벌에관한법률위반(공동상해)·업무방해·특수상해,2022도8257,2022.11.17,대법원,형사,400102,판결,선고
14,231989,성폭력범죄의처벌등에관한특례법위반(장애인준강간)·간음유인,2020도13672,2022.11.10,대법원,형사,400102,판결,선고
15,235657,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)[택일적죄명성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)],2022노588,2022.11.08,서울남부지방법원,형사,400102,판결,선고
16,231793,특정범죄가중처벌등에관한법률위반(보복협박등)(일부 인정된 죄명: 협박)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)[인터넷개인방송을 비정상적인 방법으로 시청·녹화하는 것이 통신비밀보호법상의 감청에 해당되는지가 문제된 사건],2022도9877,2022.10.27,대법원,형사,400102,판결,선고
17,231805,폭력행위등처벌에관한법률위반(공동주거침입)·업무방해,2019도10516,2022.10.27,대법원,형사,400102,판결,선고
18,231731,군인등강제추행·성폭력범죄의처벌등에관한특례법위반(통신매체이용음란),2020도11185,2022.09.29,대법원,형사,400102,판결,선고
19,230967,폭력행위등처벌에관한법률위반(단체등의구성·활동)·폭력행위등처벌에관한법률위반(단체등의공동공갈)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·아동·청소년의성보호에관한법률위반(성착취물제작·배포등)·폭력행위등처벌에관한법률위반(단체등의공동강요)·폭력행위등처벌에관한법률위반(공동강요)·아동·청소년의성보호에관한법률위반(성착취물소지등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),2022도6993,2022.09.07,대법원,형사,400102,판결,선고
20,231015,업무방해·폭력행위등처벌에관한법률위반(공동주거침입)[피고인들이 대형마트에 들어가 당시 매장에서 현장점검을 하던 피해자(점장)와 대표이사 등 간부들을 약 30분간 따라 다니면서 피켓 시위를 한 것에 관하여 폭력행위 등 처벌에 관한 법률 위반(공동주거침입)과 업무방해로 기소된 사건],2021도9055,2022.09.07,대법원,형사,400102,판결,선고
21,232787,사기방조·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·전자금융거래법위반,2019도15178,2022.08.31,대법원,형사,400102,판결,선고
22,230889,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)·공연음란[피고인이 아파트의 1층 공동현관 내 계단과 엘리베이터 앞 및 상가 1층 엘리베이터 앞까지 피해자들을 뒤따라 들어가 피해자들을 각 강제추행한 사안],2022도3801,2022.08.25,대법원,형사,400102,판결,선고
23,233851,특수공무집행방해치상·폭력행위등처벌에관한법률위반(집단·흉기등상해)·일반교통방해·집회및시위에관한법률위반,2020도6061,2022.08.25,대법원,형사,400102,판결,선고
24,228543,폭력행위등처벌에관한법률위반,2020도1153,2022.08.19,대법원,형사,400102,판결,선고
25,233295,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(촬영물등이용강요)·공갈미수,2022노540,2022.08.17,서울고등법원,형사,400102,판결,선고
26,232909,성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)·야간건조물침입절도,2022도5659,2022.07.28,대법원,형사,400102,판결,선고
27,232033,특정범죄가중처벌등에관한법률위반(보복협박등)(일부인정된죄명협박)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),2022노288,2022.07.22,서울고등법원,형사,400102,판결,선고
28,232819,사기·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등),2022도1452,2022.06.30,대법원,형사,400102,판결,선고
29,232669,폭력행위등처벌에관한법률위반(공동상해)·업무방해·폭행·특수상해·특수협박·강요·상해,2021노2852,2022.06.16,창원지방법원,형사,400102,판결,선고
30,232597,폭력행위등처벌에관한법률위반(공동주거침입)·절도·공무집행방해,2021도7087,2022.06.16,대법원,형사,400102,판결,선고
31,222705,노동조합및노동관계조정법위반·업무방해·폭력행위등처벌에관한법률위반(공동강요)·폭력행위등처벌에관한법률위반(공동주거침입)(피고인6에대하여인정된죄명:주거침입)·재물손괴,2016도11744,2022.06.09,대법원,형사,400102,판결,선고
32,222709,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2022도1683,2022.06.09,대법원,형사,400102,판결,선고
33,231611,폭력행위등처벌에관한법률위반(단체등의구성·활동)·폭력행위등처벌에관한법률위반(단체등의공동공갈)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·아동·청소년의성보호에관한법률위반(성착취물제작·배포등)·폭력행위등처벌에관한법률위반(단체등의공동강요)·폭력행위등처벌에관한법률위반(공동강요)·아동·청소년의성보호에관한법률위반(성착취물소지등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),2021노506,2022.05.24,대전고등법원,형사,400102,판결,선고
34,232607,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·추행,2018도11276,2022.05.13,대법원,형사,400102,판결,선고
35,232617,아동·청소년의성보호에관한법률위반(위계등간음)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2021도9041,2022.04.28,대법원,형사,400102,판결,선고
36,232625,위계공무집행방해·폭력행위등처벌에관한법률위반(공동주거침입),2020도8030,2022.04.28,대법원,형사,400102,판결,선고
37,232615,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)·주거침입,2022도1717,2022.04.28,대법원,형사,400102,판결,선고
38,220305,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등간음)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등추행)·부착명령,2021도14530,2022.04.14,대법원,형사,400102,판결,선고
39,232091,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행)·준강제추행·절도미수·성폭력범죄의처벌등에관한특례법위반(비밀준수등)·재물손괴·부착명령,2022도1272,2022.04.14,대법원,형사,400102,판결,선고
40,227239,위계공무집행방해·폭력행위등처벌에관한법률위반(공동주거침입),2018도15213,2022.03.31,대법원,형사,400102,판결,선고
41,227191,폭력행위등처벌에관한법률위반(집단·흉기등상해)(변경된 죄명: 특수상해),2016도17054,2022.03.17,대법원,형사,400102,판결,선고
42,227223,강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령,2021도16232,2022.03.17,대법원,형사,400102,판결,선고
43,231031,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)·공연음란·위헌심판제청,2021노2006,2022.03.10,서울고등법원,형사,400102,판결,선고
44,219929,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2019도4938,2022.02.17,대법원,형사,400102,판결,선고
45,233355,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(촬영물등이용강요)·공갈미수,2021고합349,2022.02.08,서울북부지방법원,형사,400102,판결,선고
46,231563,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·건조물침입,2020도1716,2022.01.27,대법원,형사,400102,판결,선고
47,232059,특정범죄가중처벌등에관한법률위반(보복협박등)(인정된죄명협박)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),2021고합582,2022.01.21,인천지방법원,형사,400102,판결,선고
48,223455,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2021노26,2022.01.14,의정부지방법원,형사,400102,판결,선고
49,231569,가정폭력범죄의처벌등에관한특례법위반,2021도14015,2022.01.14,대법원,형사,400102,판결,선고
50,231639,폭력행위등처벌에관한법률위반(공동강요),2021고단1432,2022.01.13,대전지방법원서산지원,형사,400102,판결,선고
51,231581,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2016도9596,2022.01.13,대법원,형사,400102,판결,선고
52,231599,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2019도10309,2021.12.30,대법원,형사,400102,판결,선고
53,231643,아동·청소년의성보호에관한법률위반(성착취물소지등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),2021고합94,2021.12.22,대전지방법원서산지원,형사,400102,판결,선고
54,228497,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2019도7342,2021.11.25,대법원,형사,400102,판결,선고
